idfamilletissus;dateentree;datefacturation;idcategorietissus;idclassematierepremiere;idutilisationwms;numerobc;numerobl;numerofacture;idfournisseur;idclient;modele;saison;designation;reftissu;composition;couleur;laize;qtecommande;idunitemesurematierepremiere;qterecu;tauxecart;nbrouleau;nblot;prixunitaire;idunitemonetaire;resterecevoir;fret;commentaire;etat
1;23/09/2024;23/09/2024;2;3;1;Non-referencé;Non-referencé;Non-referencé;94;32;JUNYA;H25;TULLE SOUPLE;Non-referencé;Non-referencé;COL 18;145;5;1;5;100;0;1;0;1;0;NULL;COUPON LAIZE à VERIFIER;0
1;23/09/2024;23/09/2024;2;2;2;Non-referencé;Non-referencé;Non-referencé;94;32;PANICE 132-DIADEME;H25;GOUTAREL;TULLE RAIDE TGOU102B 024C;Non-referencé;SABLE;145;9;1;9;100;0;1;0;1;0;NULL;MODELE POIS;0
1;23/09/2024;23/09/2024;2;2;1;Non-referencé;Non-referencé;Non-referencé;94;32;JUSTE-PANICE;H25;BELFOULARD;Non-referencé;Non-referencé;132 NERO;145;8;1;8;100;0;1;0;1;0;NULL;COUPON;0
1;23/09/2024;23/09/2024;2;3;1;Non-referencé;Non-referencé;Non-referencé;94;32;JUSTE-PANICE;H25;TULLE DORE PETIT POIS GOUTAREL;2401/105;Non-referencé;632 IMPRIME OR;145;10;1;10;100;0;1;0;1;0;NULL;COUPON;0
1;23/09/2024;23/09/2024;2;3;1;Non-referencé;Non-referencé;Non-referencé;94;32;JILLESA;H25;CARREAU SOMELOS;MILORD CAND G412.3;Non-referencé;OPT/0342/00300;145;9.7;1;9.7;100;0;1;0;1;0;NULL;COUPON;0
1;23/09/2024;23/09/2024;2;2;1;Non-referencé;Non-referencé;Non-referencé;94;32;JILLESA;H25;COTTON POPLIN SIDOGRAS;Non-referencé;Non-referencé;6060-454;145;5.7;1;5.7;100;0;1;0;1;0;NULL;COUPON;0
1;23/09/2024;23/09/2024;2;2;1;Non-referencé;Non-referencé;Non-referencé;94;32;JUSTE-PANICE;H25;TULLE RAIDE GOUTAREL;102/B;Non-referencé;NOIR;145;9;1;9;100;0;1;0;1;0;NULL;COUPON LAIZE à VERIFIER;0
1;23/09/2024;23/09/2024;2;2;1;Non-referencé;Non-referencé;Non-referencé;94;32;JUSTE-PANICE;H25;TULLE SOUPLE;Non-referencé;Non-referencé;040 NERO;145;4;1;4;100;0;1;0;1;0;NULL;COUPON LAIZE à VERIFIER;0
1;13/09/2024;13/09/2024;1;2;2;Non-referencé;625143;Non-referencé;NULL;100;MATHILDE;E25;APRECIA;UU-O 30258R;100% COTTON;ROSE 822;145;7;1;0.09;100;0;1;0;1;0;NULL;retour SURPLUS TISSU  ;0
1;25/09/2024;23/09/2024;2;1;1;2399/LOI/2024;246149;F215101Z;1;NULL;COMMUN;E22;LASMINA;B 10000 DOUBLE BLANCHIMENT;100% COTTON;BLANC;150/153;4000;1;3986.7;99.66;27;0;2.75;2;13.3;NULL;EMP: E10/E20;0
